"Id","Code","Name","ImportId","Tag","Status","Description","CreateDate","CreateUserId","UpdateDate","UpdateUserId","LanguageId","UnitCode","ImageUrl","ColorCode","HasOdt","Time","TimeType"
FA9F42E9AB5D0A4787B1C978446C5937,"TC","Tài chính","","",1,"",27/04/19,"",,"","","","","",,,
292923F2ACC42F48B561ADC1BAEF6C9A,"TNMT","Tài nguyên môi trường","","",1,"",27/04/19,"",,"","","","","",,,
D0499A4719B86344A28120BE57AAA697,"TP_CHUNGTHUC","Tư pháp - chứng thực (cấp xã)","","",1,"",27/04/19,"",,"","","","","",,,
4E9C7857F7EE7F4FB2332353E6F783C4,"TP_HOTICH","Tư pháp - Hộ tịch (Cấp xã)","","",1,"",27/04/19,"",,"","","","","",,,
B1650CD75605BD4FA9FEC002460B480D,"VHXH","Văn hóa xã hội","","",1,"",27/04/19,"",,"","","","","",,,
445CB51E647F974F84E6DF0AC0D9F6B4,"YTDPMT","Y tế","","",1,"",27/04/19,"",,"","","","","",,,
7A941660465B2E43A35D6E0149906507,"HT","Hộ tịch","","",1,"",27/04/19,"",,"","","","","",,,
D841E7B29422994591CD4B2CC43A18E7,"KD","Kinh Tế - Công Thương","","",1,"",27/04/19,"",,"","","","","",,,
4E352C72FBE23B44BA2789A2AF7356DB,"KT_NLN","Kinh Tế - Nông Lâm Nghiệp","","",1,"",27/04/19,"",,"","","","","",,,
6C0D77F45130CC41AA480CD0D7632F05,"KHDT","Kế hoạch - đầu tư","","",1,"",27/04/19,"",,"","","","","",,,
8CDFEE9B89833940A5D7DA975EA966CF,"NN","Nông nghiệp và Phát triển nông thôn","","",1,"",27/04/19,"",,"","","","","",,,
74DC97E8BAEA4C45A45B91C379279450,"PTDT","Quản lý và Phát triển đô thị","","",1,"",27/04/19,"",,"","","","","",,,
E3857BB6B525416CA9D8F5EDA6A182D8,"QMS","Lấn chiếm lòng, lề đường","1","#cbb904",1,"https://media.dalatcity.org/Images/superadmin/Icon/lanchiemleduong_636915413370017962.png?r=71",29/04/19,"",27/05/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","https://media.dalatcity.org/Images/superadmin/Icon/lanchiemleduong_636915413370017962.png?r=71","#704545",,,
27C6957BE8C24419B18F93D3EF6444ED,"QMS","Xây dựng trái phép","2","	#FFA500",1,"https://media.dalatcity.org/Images/superadmin/Icon/xdtraiphep_636915413370174121.png?r=930",29/04/19,"",14/05/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","https://media.dalatcity.org/Images/superadmin/Icon/xdtraiphep_636915413370174121.png?r=726","#ff00a6",,,
